7,5,107
11,3,86
15,9,82
17,14,100
18,12,97
24,3,111
27,12,88
33,12,121
43,13,71
44,13,94
54,0,102
62,14,97
64,2,91
72,14,110
74,9,99
79,15,106
92,7,100
116,7,87
122,15,90
125,4,106
126,1,111
142,8,84
146,7,112
148,2,101
159,10,96
167,3,103
171,3,104
182,4,113
187,14,90
190,14,95
193,2,97
209,14,101
213,10,110
215,8,107
216,9,111
217,15,116
219,1,101
223,15,98
224,8,113
235,1,100
240,10,101
241,0,109
251,3,102
263,15,102
264,0,99
267,3,110
272,9,116
282,1,108
283,4,102
302,1,106
319,6,98
357,0,103
358,12,96
359,7,104
360,0,87
363,0,118
367,2,86
370,5,88
371,2,105
374,3,95
378,9,92
380,2,96
384,10,82
385,10,99
402,3,95
403,8,111
411,2,109
417,1,107
419,12,91
441,8,98
442,7,76
454,2,93
458,9,108
460,12,85
463,4,99
475,8,96
481,2,87
483,8,102
490,12,86
491,2,84
506,15,92
513,0,90
519,14,101
527,8,96
533,6,105
534,15,100
551,2,107
555,9,103
558,5,114
569,14,97
573,8,112
580,7,103
582,4,120
590,10,111
592,10,100
612,4,92
616,5,102
619,1,88
620,14,111
624,10,121
629,10,108
637,1,93
638,14,96
672,14,83
685,12,101
696,10,104
705,11,102
707,4,86
711,8,121
729,3,96
738,5,116
740,2,101
743,5,122
750,1,88
751,6,116
756,8,98
760,1,100
775,2,96
785,3,110
795,9,102
801,1,103
802,12,116
810,6,107
811,1,106
815,13,82
819,10,115
823,13,106
828,8,97
829,12,104
844,13,90
854,0,97
867,7,99
875,10,115
878,7,91
901,11,106
906,12,108
909,1,98
910,3,117
911,10,86
914,10,114
915,8,98
927,13,99
933,13,98
943,12,107
947,5,103
954,4,90
967,13,123
968,5,96
969,9,102
975,7,99
978,8,112
979,15,95
981,0,99
989,4,98
994,7,112
1010,10,103
